MODEL	EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
finbert-char-ner	54	07:46:07	1	0.0500	1.5179927716465116	1.5461615324020386	0.8047	0.8535	0.8284
finbert-char-ner	55	07:59:20	2	0.0500	1.5061219705725617	1.4967401027679443	0.8091	0.8519	0.8299
finbert-char-ner	56	08:12:30	3	0.0500	1.4998440899938907	1.5073050260543823	0.8088	0.8539	0.8307
finbert-char-ner	57	08:25:46	0	0.0500	1.4964890989867397	1.491202712059021	0.8114	0.8515	0.8310
finbert-char-ner	58	08:38:57	1	0.0500	1.4887860323648032	1.5355768203735352	0.8016	0.8568	0.8282
finbert-char-ner	59	08:52:13	0	0.0500	1.4739955221332095	1.5162429809570312	0.8091	0.8545	0.8312
finbert-char-ner	60	09:05:22	1	0.0500	1.4687685471660685	1.4831504821777344	0.8107	0.8519	0.8308
finbert-char-ner	61	09:18:34	0	0.0500	1.4692522062445588	1.4491724967956543	0.8204	0.8462	0.8331
finbert-char-ner	62	09:31:49	1	0.0500	1.4636417080021504	1.490882396697998	0.8095	0.8544	0.8313
finbert-char-ner	63	09:44:56	2	0.0500	1.4652897239481129	1.4731781482696533	0.8146	0.8524	0.8330
finbert-char-ner	64	09:58:10	3	0.0500	1.453570639562307	1.4944169521331787	0.8088	0.8544	0.8309
finbert-char-ner	65	10:11:17	4	0.0500	1.4529336263548653	1.4768850803375244	0.8117	0.8530	0.8318
finbert-char-ner	66	10:24:30	1	0.0250	1.4261730894352656	1.490654468536377	0.8109	0.8536	0.8317
finbert-char-ner	67	10:37:39	2	0.0250	1.4303778589896436	1.4705289602279663	0.8132	0.8525	0.8324
finbert-char-ner	68	10:50:55	3	0.0250	1.4201417351668735	1.4937655925750732	0.8104	0.8548	0.8320
finbert-char-ner	69	11:04:06	4	0.0250	1.4179822131522797	1.4668320417404175	0.8135	0.8524	0.8325
finbert-char-ner	70	11:17:23	0	0.0125	1.4098508230545237	1.471893310546875	0.8142	0.8535	0.8334
