MODEL	EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
flair-ner	39	23:11:16	4	0.0016	0.3810700498747103	0.7577905058860779	0.9646	0.9237	0.9437
flair-ner	40	23:11:23	1	0.0008	0.3170267406738166	0.7644355893135071	0.9646	0.9237	0.9437
flair-ner	41	23:11:31	2	0.0008	0.3642329785859946	0.7600507140159607	0.9646	0.9237	0.9437
flair-ner	42	23:11:38	3	0.0008	0.32341451581680414	0.7565644979476929	0.9646	0.9237	0.9437
flair-ner	43	23:11:46	4	0.0008	0.3411879553036256	0.7588263750076294	0.9646	0.9237	0.9437
flair-ner	44	23:11:54	1	0.0004	0.36097899169632885	0.7575185298919678	0.9646	0.9237	0.9437
flair-ner	45	23:12:01	2	0.0004	0.39101170003414154	0.7550849914550781	0.9646	0.9237	0.9437
flair-ner	46	23:12:09	3	0.0004	0.3379369500008496	0.7559274435043335	0.9646	0.9237	0.9437
flair-ner	47	23:12:16	4	0.0004	0.3839785267006267	0.7556216716766357	0.9646	0.9237	0.9437
flair-ner	48	23:12:24	1	0.0002	0.39871803242148773	0.754819929599762	0.9646	0.9237	0.9437
flair-ner	49	23:12:32	2	0.0002	0.35314275685584906	0.7543618083000183	0.9646	0.9237	0.9437
flair-ner	50	23:12:39	3	0.0002	0.3456238873980262	0.7539750337600708	0.9646	0.9237	0.9437
flair-ner	51	23:12:47	4	0.0002	0.415580944129915	0.7537294030189514	0.9646	0.9237	0.9437
glove-char-ner	1	23:12:58	0	0.1000	9.215679563356169	3.1251351833343506	0.9398	0.6610	0.7761
glove-char-ner	2	23:13:08	0	0.1000	3.302520322077202	2.0403900146484375	0.9245	0.8305	0.8750
glove-char-ner	3	23:13:17	0	0.1000	2.3532002053477545	1.436333179473877	0.8678	0.8898	0.8787
glove-char-ner	4	23:13:27	1	0.1000	1.9902398604335207	1.2799749374389648	0.8583	0.8729	0.8655
glove-char-ner	5	23:13:34	0	0.1000	1.6577133427966724	1.3206112384796143	0.8760	0.8983	0.8870
glove-char-ner	6	23:13:44	0	0.1000	1.4267412695017727	1.1684426069259644	0.8908	0.8983	0.8945
glove-char-ner	7	23:13:53	0	0.1000	1.1940410191362554	1.0371077060699463	0.9060	0.8983	0.9021
glove-char-ner	8	23:14:03	0	0.1000	1.054730677243435	1.116456389427185	0.9231	0.9153	0.9191
glove-char-ner	9	23:14:12	0	0.1000	1.0449430779977278	0.9705999493598938	0.9391	0.9153	0.9270
glove-char-ner	10	23:14:22	0	0.1000	0.9924748846978853	0.9638530015945435	0.9391	0.9153	0.9270
glove-char-ner	11	23:14:31	1	0.1000	0.9159816033912428	0.9880731105804443	0.9217	0.8983	0.9099
glove-char-ner	12	23:14:38	2	0.1000	0.7424414970658042	1.0706087350845337	0.9160	0.9237	0.9198
glove-char-ner	13	23:14:45	3	0.1000	0.6626632091673937	0.9452704191207886	0.9231	0.9153	0.9191
glove-char-ner	14	23:14:52	4	0.1000	0.6163353251688408	1.0005395412445068	0.9068	0.9068	0.9068
glove-char-ner	15	23:14:59	0	0.0500	0.6416246629122532	0.9751672148704529	0.9397	0.9237	0.9316
glove-char-ner	16	23:15:09	0	0.0500	0.5093636228279634	0.9872439503669739	0.9483	0.9322	0.9402
glove-char-ner	17	23:15:18	1	0.0500	0.45661771161989734	0.9740989208221436	0.9145	0.9068	0.9106
glove-char-ner	18	23:15:25	2	0.0500	0.4481827345761386	1.0187947750091553	0.9310	0.9153	0.9231
glove-char-ner	19	23:15:32	3	0.0500	0.5000439954526497	0.9565165638923645	0.9381	0.8983	0.9177
glove-char-ner	20	23:15:39	4	0.0500	0.39994094407919684	1.0530847311019897	0.9402	0.9322	0.9362
glove-char-ner	21	23:15:45	1	0.0250	0.3939866545525464	0.9840428829193115	0.9231	0.9153	0.9191
